# cycle	pc	r0	r1	r2	r3	r4	r5	r6	r7	pin_out	pin_oe
114	5	85	7	0	0	0	0	0	0	0	1
115	5	85	7	0	0	0	0	0	0	0	1
116	5	85	7	0	0	0	0	0	0	0	1
117	5	85	7	0	0	0	0	0	0	0	1
118	5	85	7	0	0	0	0	0	0	0	1
119	5	85	7	0	0	0	0	0	0	0	1
120	5	85	7	0	0	0	0	0	0	0	1
121	5	85	7	0	0	0	0	0	0	0	1
122	5	85	7	0	0	0	0	0	0	0	1
123	5	85	7	0	0	0	0	0	0	0	1
124	5	85	7	0	0	0	0	0	0	0	1
125	5	85	7	0	0	0	0	0	0	0	1
126	5	85	7	0	0	0	0	0	0	0	1
127	5	85	7	0	0	0	0	0	0	0	1
128	5	85	7	0	0	0	0	0	0	0	1
129	5	85	7	0	0	0	0	0	0	0	1
130	5	85	7	0	0	0	0	0	0	0	1
131	5	85	7	0	0	0	0	0	0	0	1
132	5	85	7	0	0	0	0	0	0	0	1
133	5	85	7	0	0	0	0	0	0	0	1
134	5	85	7	0	0	0	0	0	0	0	1
135	5	85	7	0	0	0	0	0	0	0	1
136	5	85	7	0	0	0	0	0	0	0	1
137	5	85	7	0	0	0	0	0	0	0	1
138	5	85	7	0	0	0	0	0	0	0	1
139	5	85	7	0	0	0	0	0	0	0	1
140	5	85	7	0	0	0	0	0	0	0	1
141	5	85	7	0	0	0	0	0	0	0	1
142	5	85	7	0	0	0	0	0	0	0	1
143	5	85	7	0	0	0	0	0	0	0	1
144	5	85	7	0	0	0	0	0	0	0	1
145	5	85	7	0	0	0	0	0	0	0	1
146	5	85	7	0	0	0	0	0	0	0	1
147	5	85	7	0	0	0	0	0	0	0	1
148	5	85	7	0	0	0	0	0	0	0	1
149	5	85	7	0	0	0	0	0	0	0	1
150	5	85	7	0	0	0	0	0	0	0	1
151	5	85	7	0	0	0	0	0	0	0	1
152	5	85	7	0	0	0	0	0	0	0	1
153	5	85	7	0	0	0	0	0	0	0	1
154	5	85	7	0	0	0	0	0	0	0	1
155	5	85	7	0	0	0	0	0	0	0	1
156	5	85	7	0	0	0	0	0	0	0	1
157	5	85	7	0	0	0	0	0	0	0	1
158	5	85	7	0	0	0	0	0	0	0	1
159	5	85	7	0	0	0	0	0	0	0	1
160	5	85	7	0	0	0	0	0	0	0	1
161	5	85	7	0	0	0	0	0	0	0	1
162	5	85	7	0	0	0	0	0	0	0	1
163	5	85	7	0	0	0	0	0	0	0	1
164	5	85	7	0	0	0	0	0	0	0	1
165	5	85	7	0	0	0	0	0	0	0	1
166	5	85	7	0	0	0	0	0	0	0	1
167	5	85	7	0	0	0	0	0	0	0	1
168	5	85	7	0	0	0	0	0	0	0	1
169	5	85	7	0	0	0	0	0	0	0	1
170	5	85	7	0	0	0	0	0	0	0	1
171	5	85	7	0	0	0	0	0	0	0	1
172	5	85	7	0	0	0	0	0	0	0	1
173	5	85	7	0	0	0	0	0	0	0	1
174	5	85	7	0	0	0	0	0	0	0	1
175	5	85	7	0	0	0	0	0	0	0	1
176	5	85	7	0	0	0	0	0	0	0	1
177	5	85	7	0	0	0	0	0	0	0	1
178	5	85	7	0	0	0	0	0	0	0	1
179	5	85	7	0	0	0	0	0	0	0	1
180	5	85	7	0	0	0	0	0	0	0	1
181	5	85	7	0	0	0	0	0	0	0	1
182	5	85	7	0	0	0	0	0	0	0	1
183	5	85	7	0	0	0	0	0	0	0	1
184	5	85	7	0	0	0	0	0	0	0	1
185	5	85	7	0	0	0	0	0	0	0	1
186	5	85	7	0	0	0	0	0	0	0	1
187	5	85	7	0	0	0	0	0	0	0	1
188	5	85	7	0	0	0	0	0	0	0	1
189	5	85	7	0	0	0	0	0	0	0	1
190	5	85	7	0	0	0	0	0	0	0	1
191	5	85	7	0	0	0	0	0	0	0	1
192	5	85	7	0	0	0	0	0	0	0	1
193	5	85	7	0	0	0	0	0	0	0	1
194	5	85	7	0	0	0	0	0	0	0	1
195	5	85	7	0	0	0	0	0	0	0	1
196	5	85	7	0	0	0	0	0	0	0	1
197	5	85	7	0	0	0	0	0	0	0	1
198	5	85	7	0	0	0	0	0	0	0	1
199	5	85	7	0	0	0	0	0	0	0	1
200	5	85	7	0	0	0	0	0	0	0	1
201	5	85	7	0	0	0	0	0	0	0	1
202	5	85	7	0	0	0	0	0	0	0	1
203	5	85	7	0	0	0	0	0	0	0	1
204	5	85	7	0	0	0	0	0	0	0	1
205	5	85	7	0	0	0	0	0	0	0	1
206	5	85	7	0	0	0	0	0	0	0	1
207	5	85	7	0	0	0	0	0	0	0	1
208	5	85	7	0	0	0	0	0	0	0	1
209	5	85	7	0	0	0	0	0	0	0	1
210	5	85	7	0	0	0	0	0	0	0	1
211	5	85	7	0	0	0	0	0	0	0	1
212	5	85	7	0	0	0	0	0	0	0	1
213	5	85	7	0	0	0	0	0	0	0	1
214	5	85	7	0	0	0	0	0	0	0	1
215	5	85	7	0	0	0	0	0	0	0	1
216	5	85	7	0	0	0	0	0	0	0	1
217	5	85	7	0	0	0	0	0	0	0	1
218	5	85	7	0	0	0	0	0	0	0	1
219	5	85	7	0	0	0	0	0	0	0	1
220	5	85	7	0	0	0	0	0	0	0	1
221	5	85	7	0	0	0	0	0	0	0	1
222	5	85	7	0	0	0	0	0	0	0	1
223	5	85	7	0	0	0	0	0	0	0	1
224	5	85	7	0	0	0	0	0	0	0	1
225	5	85	7	0	0	0	0	0	0	0	1
226	5	85	7	0	0	0	0	0	0	0	1
227	5	85	7	0	0	0	0	0	0	0	1
228	5	85	7	0	0	0	0	0	0	0	1
229	5	85	7	0	0	0	0	0	0	0	1
230	5	85	7	0	0	0	0	0	0	0	1
231	5	85	7	0	0	0	0	0	0	0	1
232	5	85	7	0	0	0	0	0	0	0	1
233	5	85	7	0	0	0	0	0	0	0	1
234	5	85	7	0	0	0	0	0	0	0	1
235	5	85	7	0	0	0	0	0	0	0	1
236	5	85	7	0	0	0	0	0	0	0	1
237	5	85	7	0	0	0	0	0	0	0	1
238	5	85	7	0	0	0	0	0	0	0	1
239	5	85	7	0	0	0	0	0	0	0	1
240	5	85	7	0	0	0	0	0	0	0	1
241	5	85	7	0	0	0	0	0	0	0	1
242	5	85	7	0	0	0	0	0	0	0	1
243	5	85	7	0	0	0	0	0	0	0	1
244	5	85	7	0	0	0	0	0	0	0	1
245	5	85	7	0	0	0	0	0	0	0	1
246	5	85	7	0	0	0	0	0	0	0	1
247	5	85	7	0	0	0	0	0	0	0	1
248	5	85	7	0	0	0	0	0	0	0	1
249	5	85	7	0	0	0	0	0	0	0	1
250	5	85	7	0	0	0	0	0	0	0	1
251	5	85	7	0	0	0	0	0	0	0	1
252	5	85	7	0	0	0	0	0	0	0	1
253	5	85	7	0	0	0	0	0	0	0	1
254	5	85	7	0	0	0	0	0	0	0	1
255	5	85	7	0	0	0	0	0	0	0	1
256	5	85	7	0	0	0	0	0	0	0	1
257	5	85	7	0	0	0	0	0	0	0	1
258	5	85	7	0	0	0	0	0	0	0	1
259	5	85	7	0	0	0	0	0	0	0	1
260	5	85	7	0	0	0	0	0	0	0	1
261	5	85	7	0	0	0	0	0	0	0	1
262	5	85	7	0	0	0	0	0	0	0	1
263	5	85	7	0	0	0	0	0	0	0	1
264	5	85	7	0	0	0	0	0	0	0	1
265	5	85	7	0	0	0	0	0	0	0	1
266	5	85	7	0	0	0	0	0	0	0	1
267	5	85	7	0	0	0	0	0	0	0	1
268	5	85	7	0	0	0	0	0	0	0	1
269	5	85	7	0	0	0	0	0	0	0	1
270	5	85	7	0	0	0	0	0	0	0	1
271	5	85	7	0	0	0	0	0	0	0	1
272	5	85	7	0	0	0	0	0	0	0	1
273	5	85	7	0	0	0	0	0	0	0	1
274	5	85	7	0	0	0	0	0	0	0	1
275	5	85	7	0	0	0	0	0	0	0	1
276	5	85	7	0	0	0	0	0	0	0	1
277	5	85	7	0	0	0	0	0	0	0	1
278	5	85	7	0	0	0	0	0	0	0	1
279	5	85	7	0	0	0	0	0	0	0	1
280	5	85	7	0	0	0	0	0	0	0	1
281	5	85	7	0	0	0	0	0	0	0	1
282	5	85	7	0	0	0	0	0	0	0	1
283	5	85	7	0	0	0	0	0	0	0	1
284	5	85	7	0	0	0	0	0	0	0	1
285	5	85	7	0	0	0	0	0	0	0	1
286	5	85	7	0	0	0	0	0	0	0	1
287	5	85	7	0	0	0	0	0	0	0	1
288	5	85	7	0	0	0	0	0	0	0	1
289	5	85	7	0	0	0	0	0	0	0	1
290	5	85	7	0	0	0	0	0	0	0	1
